iter	Passed	Remaining
0	47	43143
1	49	22384
2	50	15320
3	52	11760
4	53	9632
5	54	8199
6	55	7153
7	56	6369
8	57	5752
9	58	5255
10	59	4844
11	61	4563
12	62	4295
13	63	4043
14	64	3864
15	66	3703
16	67	3539
17	69	3415
18	70	3278
19	71	3188
20	73	3090
21	74	2994
22	75	2915
23	77	2834
24	78	2754
25	79	2688
26	80	2617
27	81	2562
28	82	2507
29	84	2456
30	85	2403
31	85	2351
32	86	2300
33	88	2263
34	89	2221
35	90	2182
36	91	2150
37	92	2116
38	93	2082
39	94	2052
40	95	2027
41	98	2020
42	98	1987
43	101	1998
44	103	1981
45	104	1961
46	106	1945
47	107	1926
48	108	1906
49	109	1884
50	111	1868
51	112	1852
52	113	1836
53	115	1820
54	116	1804
55	117	1789
56	119	1776
57	120	1764
58	121	1749
59	122	1735
60	124	1722
61	125	1711
62	126	1699
63	128	1687
64	129	1675
65	130	1665
66	131	1654
67	133	1645
68	134	1635
69	135	1624
70	137	1615
71	138	1609
72	140	1599
73	140	1583
74	141	1567
75	142	1552
76	142	1537
77	143	1523
78	143	1509
79	144	1495
80	145	1482
81	146	1470
82	146	1457
83	147	1445
84	148	1432
85	148	1418
86	149	1406
87	149	1395
88	150	1384
89	151	1375
90	152	1365
91	153	1356
92	153	1346
93	154	1336
94	155	1326
95	155	1316
96	156	1306
97	157	1297
98	157	1289
99	158	1280
100	159	1270
101	159	1262
102	160	1253
103	161	1245
104	161	1236
105	162	1228
106	163	1220
107	164	1215
108	164	1207
109	165	1200
110	166	1192
111	167	1186
112	167	1179
113	168	1172
114	169	1164
115	169	1158
116	170	1151
117	171	1145
118	172	1138
119	172	1134
120	173	1127
121	174	1121
122	174	1114
123	175	1108
124	176	1102
125	177	1101
126	178	1096
127	179	1092
128	180	1086
129	180	1080
130	182	1079
131	182	1073
132	184	1075
133	185	1070
134	186	1066
135	187	1060
136	187	1055
137	188	1050
138	189	1045
139	189	1040
140	190	1035
141	191	1031
142	192	1025
143	192	1021
144	193	1016
145	194	1011
146	194	1006
147	195	1002
148	196	997
149	196	993
150	197	988
151	198	984
152	198	979
153	199	975
154	200	971
155	200	966
156	201	962
157	202	958
158	202	954
159	203	950
160	204	946
161	205	943
162	206	940
163	206	936
164	207	932
165	208	928
166	208	924
167	209	921
168	210	918
169	211	915
170	211	911
171	212	907
172	213	903
173	213	900
174	214	896
175	215	893
176	215	889
177	216	886
178	217	882
179	217	879
180	218	876
181	219	872
182	219	869
183	220	866
184	221	862
185	221	859
186	222	857
187	224	857
188	224	854
189	225	851
190	226	848
191	226	845
192	227	841
193	228	838
194	228	835
195	230	836
196	231	832
197	231	830
198	232	827
199	233	824
200	233	821
201	234	818
202	235	815
203	235	812
204	236	809
205	237	807
206	238	804
207	238	802
208	239	799
209	240	797
210	240	794
211	241	792
212	242	789
213	243	787
214	243	785
215	244	782
216	245	779
217	245	777
218	246	774
219	247	772
220	248	770
221	248	767
222	249	765
223	250	763
224	251	760
225	251	758
226	252	756
227	253	753
228	254	752
229	254	749
230	255	747
231	256	745
232	257	743
233	257	741
234	258	739
235	259	736
236	259	734
237	260	733
238	261	731
239	262	729
240	263	727
241	263	724
242	264	723
243	265	721
244	266	719
245	267	718
246	268	718
247	269	716
248	270	715
249	271	713
250	272	711
251	273	710
252	274	709
253	275	707
254	275	704
255	276	702
256	278	704
257	279	703
258	280	701
259	281	699
260	281	697
261	283	699
262	285	698
263	286	698
264	287	696
265	288	695
266	289	693
267	291	695
268	292	693
269	293	691
270	293	689
271	294	687
272	295	685
273	296	683
274	296	681
275	308	706
276	311	707
277	311	705
278	312	703
279	313	701
280	314	701
281	315	700
282	316	698
283	317	696
284	318	694
285	318	692
286	321	695
287	322	693
288	323	691
289	324	689
290	324	687
291	326	687
292	327	685
293	327	683
294	328	681
295	329	679
296	330	678
297	330	676
298	332	676
299	333	675
300	336	677
301	337	676
302	338	674
303	339	672
304	339	670
305	340	668
306	341	666
307	341	665
308	342	663
309	343	661
310	344	659
311	345	657
312	346	657
313	347	656
314	348	654
315	349	652
316	349	650
317	350	649
318	351	647
319	352	645
320	352	644
321	353	642
322	354	640
323	354	638
324	355	636
325	356	635
326	356	633
327	358	631
328	358	630
329	359	628
330	360	626
331	360	624
332	361	622
333	362	621
334	362	619
335	363	617
336	364	616
337	365	615
338	366	613
339	366	611
340	367	610
341	368	608
342	368	606
343	369	604
344	370	603
345	371	601
346	371	600
347	372	598
348	373	596
349	374	595
350	374	593
351	375	591
352	376	590
353	376	588
354	377	586
355	378	585
356	378	583
357	379	581
358	380	580
359	380	578
360	381	577
361	382	575
362	382	573
363	383	572
364	384	570
365	385	569
366	385	567
367	386	566
368	387	564
369	387	563
370	388	561
371	389	559
372	390	558
373	391	557
374	392	556
375	392	554
376	393	553
377	394	551
378	394	550
379	395	548
380	396	547
381	397	546
382	398	544
383	398	543
384	399	541
385	400	540
386	401	538
387	401	537
388	402	535
389	403	534
390	404	533
391	405	532
392	405	530
393	407	530
394	408	529
395	409	528
396	409	526
397	410	525
398	411	524
399	412	522
400	413	521
401	414	520
402	414	518
403	416	519
404	417	517
405	418	516
406	419	514
407	419	513
408	420	512
409	421	510
410	422	509
411	422	507
412	423	506
413	424	505
414	424	503
415	425	502
416	426	500
417	426	499
418	427	497
419	428	496
420	429	495
421	429	493
422	430	492
423	431	491
424	431	489
425	432	488
426	433	487
427	434	486
428	435	485
429	436	483
430	436	482
431	437	480
432	438	479
433	438	478
434	439	476
435	440	475
436	441	474
437	441	473
438	442	471
439	443	470
440	443	469
441	444	467
442	445	466
443	446	466
444	447	464
445	448	463
446	449	462
447	449	460
448	450	459
449	451	458
450	452	457
451	453	456
452	454	455
453	454	453
454	455	452
455	456	451
456	456	449
457	457	448
458	458	447
459	459	446
460	459	444
461	460	443
462	461	442
463	462	441
464	462	439
465	463	438
466	464	437
467	465	436
468	465	435
469	466	433
470	467	432
471	468	431
472	468	430
473	469	428
474	470	428
475	471	427
476	472	425
477	473	424
478	473	423
479	474	422
480	475	421
481	476	419
482	476	418
483	477	417
484	478	416
485	479	415
486	480	413
487	480	412
488	481	411
489	482	410
490	483	409
491	483	408
492	484	406
493	485	405
494	485	404
495	486	403
496	487	402
497	488	400
498	489	400
499	489	398
500	490	397
501	491	396
502	492	395
503	492	394
504	493	392
505	494	391
506	495	390
507	496	389
508	496	388
509	497	387
510	498	386
511	498	384
512	499	383
513	500	382
514	501	381
515	501	380
516	502	379
517	503	378
518	504	376
519	504	375
520	505	374
521	506	373
522	506	372
523	507	370
